cik,feature_year,actual_label,predicted_score,risk_tier,scenario_score,company_name,sector,operating_margin,operating_cash_flow_to_assets,liabilities_to_assets,revenue_growth,outcome_year,scenario_tier,review_rank
0000001800,2021,0,0.011468968669435595,Routine Monitoring,0.012941432261747463,ABBOTT LABORATORIES,Industrial / Manufacturing,0.1955890887986071,0.140073940103197,,0.2446544151641239,2022,Routine Monitoring,1565
0000002098,2021,0,0.19305606922005025,Routine Monitoring,0.21039647772134148,ACME UNITED CORP,Industrial / Manufacturing,0.0701310241629413,0.0355900362537227,0.4663343720301411,0.1102694132986803,2022,Routine Monitoring,345
0000002178,2021,0,0.008905458961249247,Routine Monitoring,0.009463724685836821,"ADAMS RESOURCES & ENERGY, INC.",Consumer / Retail,0.0079789492811588,0.2162405958852744,0.5719649962770514,0.9807907106850204,2022,Routine Monitoring,1593
0000002488,2021,0,0.0030415151067933912,Routine Monitoring,0.003435765877480366,ADVANCED MICRO DEVICES INC,Technology / Software / Electronics,0.2219788243884629,0.2835171914002737,,0.6832940694458671,2022,Routine Monitoring,1671
0000002969,2021,0,0.014999465023560051,Routine Monitoring,0.01667725903765926,AIR PRODUCTS & CHEMICALS INC /DE/,Industrial / Manufacturing,0.2210016468080984,0.1241734675641865,0.4754869839756955,0.1656109210392602,2022,Routine Monitoring,1514
0000003197,2021,0,0.13272980076001015,Routine Monitoring,0.14562955530808658,CECO ENVIRONMENTAL CORP,Technology / Software / Electronics,0.0304096995125563,0.0319512154100101,0.5051453998947614,0.0257237880959839,2022,Routine Monitoring,493
0000003570,2021,0,0.0531484131701549,Routine Monitoring,0.05964907441726429,CHENIERE ENERGY INC,Energy / Capital-intensive,-0.0441880988401412,0.0628916399205257,,0.6952340243641804,2022,Routine Monitoring,961
0000004127,2021,0,0.0038621225092798357,Routine Monitoring,0.004299565568750539,SKYWORKS SOLUTIONS INC,Technology / Software / Electronics,0.3156524632518447,0.2062695705821411,0.3833913417998533,0.5225139315195042,2022,Routine Monitoring,1659
0000004281,2021,0,0.03699352971117401,Routine Monitoring,0.04102903589237134,HOWMET AEROSPACE INC.,Industrial / Manufacturing,0.1504424778761062,0.0439377629905078,0.656717878461689,-0.0545731127590797,2022,Routine Monitoring,1139
0000004904,2021,0,0.05426005553943568,Routine Monitoring,0.05749656921805885,AMERICAN ELECTRIC POWER CO INC,Energy / Capital-intensive,0.203150309671272,0.0438001247879802,0.7408025897498195,0.1255823306632704,2022,Routine Monitoring,947
0000005981,2021,0,0.04749422266747273,Routine Monitoring,0.05261263372458166,AMERICAN VANGUARD CORP,Industrial / Manufacturing,0.0555711186771825,0.1244107986631324,0.4630373400945027,0.2140116502145175,2022,Routine Monitoring,1010
0000006176,2021,0,0.19618886613504435,Routine Monitoring,0.21373613229254484,AMPCO PITTSBURGH CORP,Technology / Software / Electronics,-0.0394758204801113,-0.0326708289404322,0.8109556207169215,0.0498441609038666,2022,Routine Monitoring,335
0000006281,2021,0,0.011897930222784027,Routine Monitoring,0.013424718876921973,ANALOG DEVICES INC,Technology / Software / Electronics,0.2312291429987841,0.0522737144712792,,0.3061240151802873,2022,Routine Monitoring,1559
0000006845,2021,0,0.0640664777777641,Routine Monitoring,0.07180127781806084,"APOGEE ENTERPRISES, INC.",Industrial / Manufacturing,0.0167773104095429,0.1131604763347498,,0.0676021755415698,2022,Routine Monitoring,862
